title,cat_id,cat_name,latitude,longitude,cat_definition
EV Charging Station,700-7600-0322,EV Charging Station,37.4444,-122.16004,Business and Services
Hamilton & Ramona,400-4100-0042,Bus Stop,37.4444,-122.16003,Transport
Palo Alto Fire Department,700-7300-0113,Fire Department,37.4444,-122.16003,Business and Services
Palo Alto Utilities Billing Information,700-7200-0000,Commercial Services,37.4444,-122.16003,Business and Services
Refining Strong Emotions--Popup Zendo,700-7400-0292,Wellness Center & Services,37.4444,-122.16003,Business and Services
Palo Alto Parking Violation,700-7400-0000,Consumer Services,37.4444,-122.16003,Business and Services
Palo Alto Civic Center,800-8100-0169,Civic/Community Center,37.4444,-122.16003,Facilities
Civic Center Garage CC,800-8500-0177,Parking Garage/Parking House,37.4444,-122.16003,Facilities
Palo Alto City Hall,800-8100-0163,City Hall,37.4444,-122.16003,Facilities
FedEx,400-4200-0240,Couriers,37.4444,-122.16003,Transport
King Plaza,800-8100-0171,Government Office,37.4444,-122.16003,Facilities
Palo Alto Cable,700-7100-0000,Communication/Media,37.44485,-122.16038,Business and Services
Eaton,700-7600-0322,EV Charging Station,37.44482,-122.15992,Business and Services
Waze,600-6500-0076,Entertainment Electronics,37.44426,-122.16083,Shopping
Joe & the Juice,100-1100-0010,Coffee Shop,37.44426,-122.16083,Eat & Drink
Palo Alto Limousine,400-4100-0041,Transportation Service,37.44469,-122.16096,Transport
Sweetgreen,100-1000-0000,Restaurant,37.44481,-122.16097,Eat & Drink
Warby Parker,800-8000-0158,Medical Services/Clinics,37.44481,-122.16097,Facilities
