h3_source,cat_definition,cat_name,title,station_count,plug_count
88283475d9fffff,Business and Services,68,68,10,20
88283475d9fffff,Facilities,30,30,10,20
88283475d9fffff,Eat & Drink,1,1,10,20
88283475d9fffff,Shopping,1,1,10,20
88283475cbfffff,Business and Services,21,21,3,5
88283475cbfffff,Facilities,16,16,3,5
88283475cbfffff,Shopping,6,6,3,5
88283475cbfffff,Sights and Museums,4,4,3,5
88283475cbfffff,Accommodations,2,2,3,5
88283475cbfffff,Eat & Drink,1,1,3,5
88283475cbfffff,Transport,1,1,3,5
8828347553fffff,Facilities,29,29,6,8
8828347553fffff,Business and Services,21,21,6,8
8828347553fffff,Shopping,9,9,6,8
8828347553fffff,Eat & Drink,8,8,6,8
8828347553fffff,Transport,8,8,6,8
8828347553fffff,Sights and Museums,3,3,6,8
8828347553fffff,Going Out-Entertainment,2,2,6,8
8828347553fffff,Accommodations,1,1,6,8
882834743dfffff,Business and Services,46,46,9,22
882834743dfffff,Facilities,31,31,9,22
882834743dfffff,Shopping,8,8,9,22
882834743dfffff,Eat & Drink,7,7,9,22
882834743dfffff,Sights and Museums,2,2,9,22
882834743dfffff,Going Out-Entertainment,1,1,9,22
8828347433fffff,Facilities,92,92,5,10
8828347433fffff,Business and Services,7,7,5,10
8828347433fffff,Shopping,1,1,5,10
